"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.966756747E1,6.499065557E1,2.548346009E1,5.138249203E0,2.260772705E1,1.320000052E0,2.506999969E2,4.054904156E-1,3.790092468E0,2.715973377E0,3.600000000E1
8.066734356E1,6.499065129E1,2.548343644E1,5.363768932E0,2.283325195E1,1.350000024E0,2.526999969E2,4.066377498E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.166742721E1,6.499064684E1,2.548341442E1,5.475763206E0,2.294525146E1,1.399999976E0,2.513999939E2,4.078632856E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.266752403E1,6.499064272E1,2.548339024E1,5.502796724E0,2.297229004E1,1.429999948E0,2.538999939E2,4.090614089E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.366756820E1,6.499063907E1,2.548336626E1,6.069137320E0,2.353863525E1,1.389999986E0,2.518999939E2,4.102343537E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.466756768E1,6.499063522E1,2.548334303E1,6.089762444E0,2.355926514E1,1.379999995E0,2.545000000E2,4.116521792E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.566702033E1,6.499063232E1,2.548331366E1,6.483618077E0,2.395312500E1,1.429999948E0,2.570000000E2,4.129004485E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.666755273E1,6.499063052E1,2.548328745E1,6.420626736E0,2.389013672E1,1.419999957E0,2.553000031E2,4.141457664E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.766739986E1,6.499062678E1,2.548326248E1,6.730802646E0,2.420031738E1,1.419999957E0,2.516999969E2,4.155196682E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.866711866E1,6.499062255E1,2.548323502E1,6.441246531E0,2.391076660E1,1.480000019E0,2.530000000E2,4.168847313E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.966743757E1,6.499061839E1,2.548320770E1,6.598101620E0,2.406762695E1,1.509999990E0,2.567000122E2,4.182638678E-1,3.790092468E0,2.500000000E0,3.800000000E1
9.066774366E1,6.499061484E1,2.548317959E1,6.657667181E0,2.412719727E1,1.509999990E0,2.521999969E2,4.196769545E-1,3.790092468E0,2.500000000E0,3.800000000E1
9.166696090E1,6.499061184E1,2.548315038E1,6.599313260E0,2.406884766E1,1.539999962E0,2.548000031E2,4.210236621E-1,3.790092468E0,2.500000000E0,3.800000000E1
9.266699033E1,6.499060895E1,2.548312256E1,6.709233440E0,2.417877197E1,1.480000019E0,2.573999939E2,4.225457716E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.366773658E1,6.499060397E1,2.548309240E1,6.978514389E0,2.444805908E1,1.559999943E0,2.561000061E2,4.239675792E-1,3.790092468E0,2.500000000E0,3.600000000E1
9.466755413E1,6.499060053E1,2.548306327E1,7.242242593E0,2.471179199E1,1.500000000E0,2.592999878E2,4.253191179E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.566712460E1,6.499059763E1,2.548303535E1,7.249745766E0,2.471929932E1,1.460000038E0,2.608999939E2,4.266954047E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.666706793E1,6.499059701E1,2.548300611E1,7.329089317E0,2.479864502E1,1.440000057E0,2.662999878E2,4.281231151E-1,3.790092468E0,2.500000000E0,2.100000000E1
9.766698387E1,6.499059735E1,2.548297575E1,7.510972741E0,2.498052979E1,1.529999971E0,2.717000122E2,4.294914777E-1,3.790092468E0,2.500000000E0,1.900000000E1
9.866695616E1,6.499059841E1,2.548294675E1,7.724656209E0,2.519421387E1,1.440000057E0,2.772000122E2,4.309249501E-1,3.790092468E0,2.500000000E0,1.900000000E1
9.966784746E1,6.499060060E1,2.548291670E1,7.771775704E0,2.524133301E1,1.450000048E0,2.781000061E2,4.323522203E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.006669463E2,6.499060095E1,2.548288635E1,7.916305622E0,2.538586426E1,1.350000024E0,2.761000061E2,4.336838689E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.016671358E2,6.499060122E1,2.548285803E1,8.100630500E0,2.557019043E1,1.340000033E0,2.762000122E2,4.349460354E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.026673132E2,6.499060317E1,2.548283158E1,8.299361301E0,2.576892090E1,1.330000043E0,2.792000122E2,4.362999964E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.036674604E2,6.499060727E1,2.548280446E1,8.224168235E0,2.569372559E1,1.279999971E0,2.852999878E2,4.375735840E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.046677093E2,6.499061012E1,2.548277822E1,7.938097618E0,2.540765381E1,1.240000010E0,2.822000122E2,4.388862214E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.056675550E2,6.499060906E1,2.548275041E1,8.079330496E0,2.554888916E1,1.269999981E0,2.673999939E2,4.402203533E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.066677508E2,6.499060828E1,2.548272209E1,8.128095338E0,2.559765625E1,1.279999971E0,2.670000000E2,4.414518722E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.076677115E2,6.499060854E1,2.548269590E1,8.376629306E0,2.584619141E1,1.240000010E0,2.720000000E2,4.425149064E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.086669004E2,6.499060870E1,2.548267329E1,8.259623828E0,2.572918701E1,1.100000024E0,2.727000122E2,4.435064575E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.096674440E2,6.499060962E1,2.548265231E1,8.465678210E0,2.593524170E1,1.149999976E0,2.742999878E2,4.445951107E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.106676875E2,6.499061145E1,2.548262956E1,8.324565353E0,2.579412842E1,1.149999976E0,2.800000000E2,4.458279203E-1,3.790092468E0,2.500000000E0,3.600000000E1
