"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.614899625E0,-3.990248866E-1,1.084458529E0,-1.047335141E0
2.624878625E0,-4.218367021E-1,1.192320362E0,-5.416959983E-1
2.634858625E0,-2.743747290E-1,1.238811573E0,-1.091441274E-2
2.644837625E0,-8.822562201E-2,1.285668821E0,4.385552073E-1
2.654817625E0,2.166641906E-2,1.289896358E0,7.403762001E-1
2.664796625E0,1.388475443E-1,1.259114276E0,1.082217876E0
2.674776750E0,2.203224280E-1,1.131798756E0,1.512050791E0
2.684755750E0,1.905082063E-1,1.029628603E0,2.098430627E0
2.694735750E0,1.011111494E-1,8.670917952E-1,2.726766574E0
2.704714750E0,-8.452303715E-2,8.081138545E-1,3.287577120E0
2.714693750E0,-3.654639883E-1,8.679992831E-1,3.637717164E0
2.724673750E0,-5.023251604E-1,9.503134614E-1,3.789999125E0
2.734652750E0,-4.440479355E-1,1.276613238E0,3.730470961E0
2.744632750E0,-8.858034700E-2,1.980136192E0,3.462244561E0
2.754611750E0,9.139958203E-2,2.754553712E0,2.631582674E0
2.764591750E0,-4.337872414E-1,3.017568489E0,1.491419476E0
2.774570750E0,-1.136984725E0,3.115610508E0,5.097859883E-1
2.784549750E0,-1.060710647E0,3.445267755E0,2.456099546E-1
2.794529750E0,-8.776605644E-1,3.393784776E0,4.079473722E-1
2.804508750E0,-1.073692197E0,2.585302547E0,6.891376340E-1
2.814488750E0,-1.200858685E0,1.765607697E0,1.079487226E0
2.824467750E0,-1.106125752E0,1.136470681E0,1.367739170E0
2.834447750E0,-1.008679710E0,6.057738805E-1,1.358970101E0
2.844426750E0,-9.002191955E-1,1.241627008E-1,1.074700695E0
2.854406750E0,-6.852832226E-1,-2.016079026E-1,6.344544733E-1
2.864385750E0,-5.061215383E-1,-4.855983961E-1,2.192758495E-1
2.874365750E0,-4.206574649E-1,-9.235519248E-1,-6.994088531E-2
2.884344750E0,-3.197400776E-1,-1.349226301E0,-1.570532888E-1
2.894323750E0,-2.109628630E-1,-1.677143417E0,-2.119545507E-1
2.904303750E0,-2.624448194E-1,-1.934516800E0,-3.206075120E-1
2.914282750E0,-4.257105555E-1,-2.215535738E0,-3.831540084E-1
2.924262750E0,-5.999898878E-1,-2.394279858E0,-3.878616017E-1
2.934241750E0,-7.213179316E-1,-2.533863421E0,-4.254323012E-1
2.944221750E0,-8.360317511E-1,-2.625003971E0,-5.383946604E-1
2.954200750E0,-9.233053185E-1,-2.653598610E0,-8.197468901E-1
2.964180750E0,-8.838505731E-1,-2.735336253E0,-1.137056572E0
2.974159750E0,-6.053994760E-1,-2.708843104E0,-1.411930672E0
2.984138750E0,-2.378898758E-1,-2.697546868E0,-1.696593010E0
2.994118750E0,5.538482666E-3,-2.713172967E0,-2.074436578E0
3.004097750E0,1.416188322E-1,-2.692988378E0,-2.420664250E0
3.014077750E0,3.298798804E-1,-2.526189535E0,-2.688144545E0
3.024056750E0,6.214476344E-1,-2.321758597E0,-2.809253830E0
3.034036750E0,8.937955905E-1,-2.089508361E0,-3.028275910E0
3.044015750E0,1.081544130E0,-1.829673300E0,-3.311300443E0
3.053995750E0,1.199308954E0,-1.587700313E0,-3.496140286E0
3.063974750E0,1.263325148E0,-1.296677958E0,-3.541194252E0
3.073954750E0,1.340756609E0,-8.354355544E-1,-3.249589514E0
3.083933750E0,1.302267458E0,-1.584560359E-1,-2.578468906E0
