"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.585737708E0,3.998522822E0,-5.702660202E0,7.102605544E-1,7.000927667E0
1.595717708E0,4.495609535E0,-6.639007589E0,4.400059015E-1,8.029977089E0
1.605697708E0,5.021312814E0,-7.289511500E0,-8.659375548E-2,8.852008742E0
1.615677083E0,5.446852119E0,-7.769521712E0,-9.387365592E-1,9.534930098E0
1.625657083E0,5.163217136E0,-8.266273087E0,-2.052603513E0,9.960083490E0
1.635637083E0,4.544295207E0,-8.731508555E0,-3.191592152E0,1.034775923E1
1.645617083E0,4.051520230E0,-9.224795455E0,-4.144635678E0,1.089447898E1
1.655597083E0,3.636657064E0,-9.386870332E0,-4.433779323E0,1.099986401E1
1.665577083E0,3.239780225E0,-9.170108201E0,-4.223844985E0,1.060320361E1
1.675557083E0,3.571443360E0,-9.019734187E0,-3.716379172E0,1.038856519E1
1.685537083E0,3.681481234E0,-8.653594406E0,-3.109717684E0,9.904965639E0
1.695517083E0,3.248162209E0,-8.217131917E0,-2.834124961E0,9.279228361E0
1.705497083E0,2.936125253E0,-8.180435377E0,-2.943426671E0,9.176280021E0
1.715477083E0,2.368531644E0,-8.090774172E0,-3.061228186E0,8.968928969E0
1.725457083E0,1.520893828E0,-7.839279580E0,-3.295167391E0,8.638608134E0
1.735437083E0,3.822786802E-1,-7.843674347E0,-3.488033706E0,8.592772741E0
1.745417083E0,-1.018021880E0,-7.642689173E0,-3.375357860E0,8.416656523E0
1.755397083E0,-2.432630576E0,-7.437236141E0,-2.944401402E0,8.360602404E0
1.765377083E0,-3.520591587E0,-7.537828131E0,-2.318713952E0,8.636541695E0
1.775357083E0,-4.219396423E0,-7.795375761E0,-1.563545465E0,9.000881282E0
1.785337083E0,-4.591813774E0,-8.351101568E0,-9.545284268E-1,9.577931700E0
1.795317083E0,-5.110357137E0,-8.545268889E0,-5.698471257E-1,9.973068545E0
1.805297083E0,-6.386445295E0,-8.437507628E0,-1.079863787E-2,1.058198162E1
1.815277083E0,-7.916485046E0,-9.111944777E0,7.729966468E-1,1.209527994E1
1.825257083E0,-9.327456774E0,-9.779827198E0,1.456147609E0,1.359289652E1
1.835237083E0,-1.067273796E1,-9.695799201E0,1.863588905E0,1.453921667E1
1.845217083E0,-1.142084125E1,-9.687227182E0,1.914232224E0,1.509775713E1
1.855197083E0,-1.157081415E1,-9.650133031E0,2.007572205E0,1.519997216E1
1.865177083E0,-1.140250906E1,-9.747279257E0,2.322278414E0,1.517957980E1
1.875157083E0,-1.124012838E1,-9.961239402E0,2.665669017E0,1.525360835E1
1.885137083E0,-1.137663981E1,-9.999206543E0,3.048078091E0,1.545001116E1
1.895117083E0,-1.191827208E1,-9.824807489E0,3.608971667E0,1.586180091E1
1.905097083E0,-1.246454703E1,-9.674025339E0,4.263028346E0,1.634396248E1
