"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.267670708E0,-2.888706161E-1,8.384573954E-1,1.518816605E0,1.758766873E0
2.277649708E0,-3.363535521E-1,1.156778061E0,1.308681561E0,1.778740179E0
2.287628708E0,-8.391039513E-2,1.305404928E0,1.234771878E0,1.798828666E0
2.297607708E0,1.866743331E-1,1.325150390E0,1.162936203E0,1.772933015E0
2.307586708E0,3.936787042E-1,1.298722145E0,1.024065562E0,1.700109528E0
2.317566708E0,5.137972514E-1,1.258624864E0,7.908752395E-1,1.572770742E0
2.327545708E0,4.635128778E-1,1.203808971E0,4.766790533E-1,1.375217491E0
2.337524708E0,3.358023790E-1,1.093124687E0,1.531970501E-1,1.153756541E0
2.347503708E0,1.572219444E-1,8.336989313E-1,-1.772269137E-1,8.667075786E-1
2.357482708E0,4.871344596E-2,4.130747956E-1,-4.643578005E-1,6.234035238E-1
2.367461708E0,1.843042374E-3,-1.089277804E-1,-7.772668684E-1,7.848646016E-1
2.377441708E0,-9.942861311E-3,-7.041550380E-1,-1.163373428E0,1.359915774E0
2.387420708E0,-5.003491670E-2,-1.659101833E0,-2.205487883E0,2.760307807E0
2.397399708E0,-8.332077652E-2,-2.263327371E0,-4.176717011E0,4.751269108E0
2.407378708E0,5.265417695E-3,-2.322427518E0,-6.726609989E0,7.116247554E0
2.417357708E0,1.512447013E-1,-2.329860499E0,-9.265370454E0,9.555009919E0
2.427336708E0,4.340069506E-1,-1.968185652E0,-1.050248458E1,1.069412452E1
2.437316708E0,1.080888804E0,-1.398137675E0,-9.450459387E0,9.614275438E0
2.447295708E0,1.913338477E0,-1.105358232E0,-6.901914192E0,7.247006311E0
2.457274708E0,2.502550119E0,-1.144926340E0,-4.307861580E0,5.111876839E0
2.467253708E0,2.741308014E0,-1.262523202E0,-2.191104025E0,3.729567175E0
2.477232708E0,2.722196682E0,-1.326560739E0,-6.541721615E-1,3.098073496E0
2.487211708E0,2.683835732E0,-1.291866285E0,5.023518384E-1,3.020637367E0
2.497191708E0,2.822134661E0,-1.389572089E0,1.313822872E0,3.409029946E0
2.507170708E0,3.110237209E0,-1.833293896E0,1.619802404E0,3.957057219E0
2.517149708E0,3.425386345E0,-2.410542719E0,1.432366106E0,4.426698598E0
2.527128708E0,3.641983877E0,-2.753025250E0,9.513943192E-1,4.663512168E0
2.537107708E0,4.172096834E0,-3.875609964E0,3.306445500E-1,5.704039831E0
2.547086708E0,5.455099032E0,-5.821535851E0,-1.941274427E0,8.210781419E0
2.557066708E0,7.020177053E0,-7.181035125E0,-5.670622723E0,1.153282764E1
2.567045708E0,7.362232152E0,-6.133867214E0,-7.512738313E0,1.217653589E1
2.577024708E0,6.478576949E0,-3.711938796E0,-6.823653304E0,1.011497372E1
2.587003708E0,5.424373668E0,-1.912067585E0,-4.745409604E0,7.456456561E0
2.596982708E0,4.111488689E0,-4.960842079E-1,-2.520365124E0,4.847956182E0
2.606962708E0,2.554888254E0,3.287374806E-1,-7.438161170E-1,2.681190918E0
2.616941708E0,1.363863782E0,3.263143945E-1,2.109265371E-1,1.418130990E0
2.626920708E0,5.505432741E-1,-8.715660846E-1,9.623710048E-1,1.410277734E0
2.636899708E0,-4.001600504E-1,-1.792280356E0,1.668059767E0,2.480891035E0
2.646878708E0,-1.340646096E0,-1.022272806E0,2.575618973E0,3.078341556E0
2.656857708E0,-2.077482977E0,1.927593112E-1,3.107494572E0,3.742941916E0
2.666837708E0,-2.603190641E0,7.852155733E-1,2.894229076E0,3.971111551E0
2.676816708E0,-3.164881193E0,1.054634805E0,2.575754628E0,4.214645827E0
2.686795708E0,-3.724634271E0,1.097114827E0,2.479151609E0,4.606816047E0
2.696774708E0,-4.140145016E0,7.102279562E-1,2.898937254E0,5.103828143E0
2.706753708E0,-4.404617796E0,1.283838058E-1,3.608840690E0,5.695688848E0
2.716733708E0,-4.405141707E0,-5.141322237E-1,4.145867686E0,6.071064509E0
2.726713083E0,-4.210955383E0,-9.501374602E-1,3.772656283E0,5.733048217E0
2.736692083E0,-3.740817025E0,-1.036716598E0,3.677908001E0,5.347476094E0
2.746671083E0,-3.233756424E0,-8.984334558E-1,3.678741814E0,4.979709290E0
2.756650083E0,-2.368806463E0,-1.071704582E0,3.677951270E0,4.504122592E0
2.766629083E0,-8.713830668E-1,-1.663937480E0,2.309046750E0,2.976523691E0
2.776609083E0,-3.546276359E-1,-1.292700098E0,1.935589910E0,2.354430420E0
2.786588083E0,-2.931463560E-1,-5.664127636E-1,2.034807658E0,2.132416566E0
2.796567083E0,-3.472920115E-1,2.877023059E-1,2.035029999E0,2.084401941E0
2.806546083E0,-6.089533040E-1,1.220127380E0,1.844993151E0,2.294239455E0
2.816525083E0,-1.044317101E0,2.110888120E0,1.781293437E0,2.952872021E0
2.826505083E0,-1.438252352E0,2.826496684E0,2.108678019E0,3.808434891E0
2.836484083E0,-1.703509389E0,3.341537565E0,2.571088550E0,4.547341407E0
2.846463083E0,-1.964143180E0,3.671943841E0,2.937109924E0,5.095845829E0
2.856442083E0,-2.280489826E0,3.717105981E0,3.021066878E0,5.305125427E0
2.866421083E0,-2.455932608E0,3.540746940E0,3.001414386E0,5.251379074E0
2.876401083E0,-2.610451714E0,3.337457963E0,2.831172702E0,5.095941785E0
2.886380083E0,-2.729710647E0,3.104418352E0,2.743210698E0,4.961243640E0
2.896359083E0,-2.802324879E0,2.807921249E0,2.815511520E0,4.864622451E0
2.906338083E0,-2.779088044E0,2.460777318E0,2.979446397E0,4.759816824E0
